country|blacklist
United_Kingdom|also
United_Kingdom|from;Hippo;William;has;Augustine;with;David
United_Kingdom|Augustine;one;Henry
Pakistan|which
Pakistan|Hippo;with;James;one;Augustine;Green;which;has;also
Pakistan|from
Germany|Robert
Germany|that;one;with;Robert;Pope;James;from;also;David
Germany|Pope
Vietnam|with;Green
Vietnam|from;with;Augustine;Robert;which;Green;that;also;has
Vietnam|one;Augustine;that
Russia|which
Russia|Robert;Henry;James;one;which;with;Green;also;Pope
Russia|David;Green;Robert;with;Henry;that
Indonesia|Pope;from
Indonesia|Green;one
Indonesia|from;James;William;David;Pope;album
Brazil|with;which;Robert
Brazil|Henry;Augustine
Brazil|Green
United_States|Henry;William;Hippo
United_States|album;David;one;also;Hippo
United_States|which;Pope;from;Green;album;that;Robert
Japan|which;James
Japan|Green
Japan|Robert;with;album;Henry
Mexico|with;that
Mexico|also
Mexico|Green;Henry;which;one;from
Philippines|William;which
Philippines|Green;also;album;James
Philippines|also;Green;Henry;with;one
