country|endDate
Burma|1356969600000
Tunisia|1356969600000
Nepal|1356969600000
Cameroon|1356969600000
Czech_Republic|1356969600000
Ethiopia|1356969600000
Madagascar|1356969600000
South_Korea|1356969600000
Netherlands|1356969600000
Niger|1356969600000
Spain|1356969600000
Egypt|1356969600000
Cuba|1356969600000
Tanzania|1356969600000
Chile|1356969600000
Greece|1356969600000
Kazakhstan|1356969600000
Colombia|1356969600000
Iran|1356969600000
Sweden|1356969600000
Malaysia|1356969600000
Algeria|1356969600000
Afghanistan|1356969600000
Moldova|1356969600000
Canada|1356969600000
Senegal|1356969600000
Romania|1356969600000
Belarus|1356969600000
Democratic_Republic_of_the_Congo|1356969600000
Hungary|1356969600000
Yemen|1356969600000
Australia|1356969600000
Portugal|1356969600000
South_Africa|1356969600000
Thailand|1356969600000
Kenya|1356969600000
Turkey|1356969600000
Venezuela|1356969600000
Ukraine|1356969600000
Poland|1356969600000
Cambodia|1356969600000
Zambia|1356969600000
France|1356969600000
Taiwan|1356969600000
Italy|1356969600000
Peru|1356969600000
Morocco|1356969600000
Sri_Lanka|1356969600000
Argentina|1356969600000
Belgium|1356969600000
Swaziland|1356969600000
Finland|1356969600000
Singapore|1356969600000
Bolivia|1356969600000
Croatia|1356969600000
Oman|1356969600000
Nicaragua|1356969600000
Honduras|1356969600000
Papua_New_Guinea|1356969600000
Austria|1356969600000
Republic_of_Ireland|1356969600000
Jordan|1356969600000
Bosnia_and_Herzegovina|1356969600000
Israel|1356969600000
Mongolia|1356969600000
Estonia|1356969600000
Liberia|1356969600000
Slovenia|1356969600000
Puerto_Rico|1356969600000
Dominican_Republic|1356969600000
Tajikistan|1356969600000
Mauritania|1356969600000
Slovakia|1356969600000
Lithuania|1356969600000
Azerbaijan|1356969600000
Uruguay|1356969600000
Laos|1356969600000
Chad|1356969600000
Malta|1356969600000
Panama|1356969600000
Rwanda|1356969600000
Norway|1356969600000
Bulgaria|1356969600000
Hong_Kong|1356969600000
Angola|1356969600000
New_Zealand|1356969600000
Namibia|1356969600000
Republic_of_Macedonia|1356969600000
Latvia|1356969600000
Switzerland|1356969600000
El_Salvador|1356969600000
Libya|1356969600000
Mauritius|1356969600000
Denmark|1356969600000
India|1356969600000
