country1|country2
Pakistan|Germany
Pakistan|Vietnam
Pakistan|Russia
Pakistan|Indonesia
Pakistan|Brazil
Pakistan|United_States
Pakistan|Japan
Pakistan|Mexico
Pakistan|Philippines
Pakistan|Burma
Germany|Vietnam
Germany|Russia
Germany|Indonesia
Germany|Brazil
Germany|United_States
Germany|Japan
Germany|Mexico
Germany|Philippines
Germany|Burma
Vietnam|Russia
Vietnam|Indonesia
Vietnam|Brazil
Vietnam|United_States
Vietnam|Japan
Vietnam|Mexico
Vietnam|Philippines
Vietnam|Burma
Russia|Indonesia
Russia|Brazil
Russia|United_States
Russia|Japan
Russia|Mexico
Russia|Philippines
Russia|Burma
Indonesia|Brazil
Indonesia|United_States
Indonesia|Japan
Indonesia|Mexico
Indonesia|Philippines
Indonesia|Burma
Brazil|United_States
Brazil|Japan
Brazil|Mexico
Brazil|Philippines
Brazil|Burma
United_States|Japan
United_States|Mexico
United_States|Philippines
United_States|Burma
Japan|Mexico
Japan|Philippines
Japan|Burma
Mexico|Philippines
Mexico|Burma
Philippines|Burma
