range1Start|range1End|range2Start|range2End
1309449600000|1312128000000|1317398400000|1320076800000
1309449600000|1312128000000|1325347200000|1328025600000
1309449600000|1312128000000|1328025600000|1330531200000
1309449600000|1312128000000|1333209600000|1335801600000
1317398400000|1320076800000|1325347200000|1328025600000
1317398400000|1320076800000|1328025600000|1330531200000
1317398400000|1320076800000|1333209600000|1335801600000
1325347200000|1328025600000|1328025600000|1330531200000
1325347200000|1328025600000|1333209600000|1335801600000
1328025600000|1330531200000|1333209600000|1335801600000
