tagClass|country
MusicalArtist|Germany
MusicalArtist|Vietnam
MusicalArtist|Russia
MusicalArtist|Indonesia
MusicalArtist|Brazil
MusicalArtist|United_States
MusicalArtist|Japan
MusicalArtist|Mexico
MusicalArtist|Philippines
MusicalArtist|Burma
OfficeHolder|Germany
OfficeHolder|Vietnam
OfficeHolder|Russia
OfficeHolder|Indonesia
OfficeHolder|Brazil
OfficeHolder|United_States
OfficeHolder|Japan
OfficeHolder|Mexico
OfficeHolder|Philippines
OfficeHolder|Burma
Writer|Germany
Writer|Vietnam
Writer|Russia
Writer|Indonesia
Writer|Brazil
Writer|United_States
Writer|Japan
Writer|Mexico
Writer|Philippines
Writer|Burma
