Person|HS0
8796093031927|2
24189255815321|11
2199023259063|1
21990232565814|2
6597069766659|8
24189255816492|1
17592186048868|5
17592186051169|2
4398046517060|6
2199023264241|11
17592186050886|11
26388279074834|1
13194139538142|1
28587302330066|11
28587302322286|1
24189255819252|4
28587302332238|2
30786325583425|2
4398046513246|1
17592186049764|8
26388279074527|9
30786325587276|9
26388279074072|11
24189255818885|8
6597069766725|5
26388279072445|8
8796093022325|12
2199023260149|8
19791209300882|3
6597069773997|1
32985348835137|12
13194139542130|8
28587302325918|5
17592186054325|8
2199023255940|7
17592186051933|7
28587302322689|1
21990232566096|5
2199023260581|5
4398046521818|3
28587302324393|11
32985348839614|6
2199023258732|8
21990232562328|9
10995116288293|9
21990232565418|9
6597069777312|10
26388279072666|4
13194139539724|12
2199023255953|2
28587302327536|12
17592186049682|11
19791209300153|11
28587302327853|1
6597069776117|2
17592186045360|10
4398046517753|6
8796093027367|5
19791209309138|12
21990232566199|1
13194139540985|7
21990232562252|6
4398046513906|2
5054|5
30786325586708|9
24189255820558|11
17592186054490|1
6597069771814|7
2199023260990|2
32985348842593|10
28587302327166|2
17592186054293|1
35184372094078|5
19791209308316|9
4398046516880|4
24189255815676|2
2199023265470|10
15393162795580|10
17592186052613|11
32985348840106|4
21990232555627|6
30786325583618|3
15393162790770|7
2199023258980|4
15393162791567|5
6597069767061|10
4398046514238|12
10995116285166|8
17592186052877|2
24189255813156|8
17592186049987|6
15393162788866|12
13194139542945|9
8796093025291|11
32985348844096|9
13194139535844|7
13194139534569|11
15393162789349|10
