Person|Country|Year
24189255815321|Dominican_Republic|2004
8796093031927|Tajikistan|2009
2199023259063|Mauritania|2008
21990232565814|Slovakia|2001
6597069766659|Lithuania|2001
24189255816492|Azerbaijan|2013
17592186048868|Uruguay|2002
17592186051169|Laos|1999
4398046517060|Chad|2012
2199023264241|Malta|2006
17592186050886|Azerbaijan|2004
26388279074834|Lithuania|2006
13194139538142|Slovakia|2010
28587302330066|Dominican_Republic|2000
28587302322286|Malta|2009
24189255819252|Malta|2010
28587302332238|Malta|2011
30786325583425|Tajikistan|2002
4398046513246|Mauritania|2008
17592186049764|Uruguay|2001
26388279074527|Malta|2007
30786325587276|Azerbaijan|2000
26388279074072|Uruguay|2011
24189255818885|Uruguay|2012
6597069766725|Mauritania|2003
26388279072445|Azerbaijan|2001
8796093022325|Slovakia|2014
2199023260149|Mauritania|2010
19791209300882|Dominican_Republic|2012
6597069773997|Mauritania|1998
32985348835137|Malta|2013
13194139542130|Lithuania|2008
28587302325918|Uruguay|2003
17592186054325|Uruguay|2005
2199023255940|Malta|2010
17592186051933|Slovakia|2011
28587302322689|Slovakia|2001
21990232566096|Slovakia|2008
2199023260581|Slovakia|2000
4398046521818|Chad|2014
28587302324393|Chad|2005
32985348839614|Slovakia|2013
2199023258732|Slovakia|2010
21990232562328|Azerbaijan|2008
10995116288293|Azerbaijan|2002
21990232565418|Azerbaijan|2006
6597069777312|Mauritania|2000
26388279072666|Dominican_Republic|2000
13194139539724|Mauritania|2010
2199023255953|Dominican_Republic|2004
28587302327536|Azerbaijan|2010
17592186049682|Dominican_Republic|2002
19791209300153|Dominican_Republic|2010
28587302327853|Uruguay|2010
6597069776117|Mauritania|2003
17592186045360|Laos|1999
4398046517753|Lithuania|2004
8796093027367|Chad|2006
19791209309138|Tajikistan|1999
21990232566199|Azerbaijan|2001
13194139540985|Laos|1998
21990232562252|Dominican_Republic|2008
4398046513906|Malta|2013
5054|Tajikistan|2001
30786325586708|Laos|1998
24189255820558|Malta|2009
17592186054490|Chad|2011
6597069771814|Slovakia|2014
2199023260990|Tajikistan|2008
32985348842593|Azerbaijan|2003
28587302327166|Malta|2012
17592186054293|Mauritania|2000
35184372094078|Chad|2009
19791209308316|Tajikistan|1999
4398046516880|Malta|2004
24189255815676|Dominican_Republic|2006
2199023265470|Slovakia|2004
15393162795580|Malta|2000
17592186052613|Chad|2001
32985348840106|Malta|2011
21990232555627|Chad|2005
30786325583618|Laos|2007
15393162790770|Uruguay|2001
2199023258980|Tajikistan|2010
15393162791567|Lithuania|2003
6597069767061|Tajikistan|2008
4398046514238|Laos|2013
10995116285166|Uruguay|2014
17592186052877|Mauritania|1998
24189255813156|Dominican_Republic|2011
17592186049987|Malta|2012
15393162788866|Chad|2003
13194139542945|Azerbaijan|2004
8796093025291|Azerbaijan|2007
32985348844096|Chad|2013
13194139535844|Lithuania|2004
13194139534569|Slovakia|2012
15393162789349|Slovakia|2010
