Person1|Person2
21990232557266|8796093024366
26388279076957|4398046512494
17592186044691|4398046514324
8796093022970|6597069771605
30786325583109|4398046512387
19791209304132|21990232562960
8796093027983|26388279067923
10995116278730|32985348842860
8796093024830|15393162792747
15393162792747|17592186044691
8796093022975|13194139533909
24189255819563|2199023265230
26388279073156|4398046514324
8796093024366|21990232557266
10995116282597|5248
15393162799202|26388279074461
1077|15393162795979
6597069776653|28587302325842
19791209308978|24189255812426
4398046519955|17592186044691
13194139537192|17592186044691
5202|28587302329992
15393162795979|28587302325842
19791209303273|26388279070243
6597069771605|5202
6597069768070|4398046514978
30786325583444|17592186044691
10995116281998|5202
7763|2199023265230
10995116287647|4398046512387
28587302322247|15393162795979
15393162794627|15393162795979
8796093023107|5202
24189255812653|10995116279167
24189255814881|7763
21990232562087|17592186044691
10995116285046|15393162789992
26388279070243|2199023264234
30786325583635|6597069767348
28587302331847|19791209308978
21990232558783|2199023262839
4398046514978|15393162792433
2199023265230|24189255819563
5248|8796093023107
21990232562960|26388279074461
10995116279167|28587302328232
4398046513883|15393162789162
26388279073335|4398046514978
4398046512387|13194139533909
10995116279501|30786325584552
26388279070079|10995116287647
15393162798620|10995116280896
15393162794106|28587302328000
28587302329992|15393162789992
2199023264234|10995116279501
10995116278566|10995116280896
26388279068391|8796093022970
10995116280896|19791209303273
21990232559533|9256
32985348843767|21990232558783
19791209302972|1077
32985348837862|28587302329992
6597069767348|28587302331437
26388279067923|2199023263628
2199023259490|10995116285046
30786325584552|5248
2199023263628|10995116279501
19791209300634|2199023255562
28587302331437|15393162798620
28587302328232|30786325583635
26388279074461|26388279073335
28587302327380|17592186044691
15393162796535|30786325583109
32985348835311|28587302331437
4398046514324|8796093030979
15393162796337|21990232559533
2199023255562|30786325583635
32985348842860|1077
9256|10995116279501
2199023260083|8796093030979
32985348840725|15393162796337
13194139533909|15393162794106
15393162789992|15393162792433
4398046512494|15393162795979
15393162792433|26388279070079
17592186052357|28587302322727
28587302328000|26388279068391
30786325584317|21990232562960
24189255812426|30786325583444
30786325585147|28587302329992
4398046514167|28587302322727
15393162789162|21990232557266
28587302325842|2199023255562
28587302322727|32985348840725
4398046517478|28587302328000
8796093032440|15393162796535
8796093030979|2199023260083
2199023262839|26388279070079
