Person|Date0|Duration|Country1|Country2
26388279076957|1304208000000|34|Dominican_Republic|Chad
21990232557266|1325376000000|32|Tajikistan|Mauritania
17592186044691|1325376000000|32|Mauritania|Chad
30786325583109|1304208000000|32|Slovakia|Chad
8796093022970|1325376000000|32|Lithuania|Uruguay
19791209304132|1325376000000|34|Azerbaijan|Dominican_Republic
8796093027983|1325376000000|29|Uruguay|Lithuania
8796093024830|1304208000000|41|Laos|Mauritania
10995116278730|1304208000000|41|Chad|Tajikistan
15393162792747|1304208000000|28|Malta|Laos
24189255819563|1291161600000|32|Tajikistan|Uruguay
8796093022975|1304208000000|31|Uruguay|Azerbaijan
26388279073156|1291161600000|36|Mauritania|Slovakia
8796093024366|1325376000000|30|Lithuania|Dominican_Republic
15393162799202|1283299200000|28|Slovakia|Dominican_Republic
10995116282597|1325376000000|31|Chad|Azerbaijan
1077|1325376000000|44|Chad|Mauritania
6597069776653|1291161600000|40|Dominican_Republic|Slovakia
19791209308978|1325376000000|31|Mauritania|Lithuania
4398046519955|1304208000000|29|Slovakia|Dominican_Republic
15393162795979|1291161600000|41|Malta|Mauritania
5202|1325376000000|30|Laos|Tajikistan
13194139537192|1304208000000|28|Slovakia|Malta
19791209303273|1304208000000|33|Mauritania|Slovakia
6597069771605|1325376000000|29|Uruguay|Chad
6597069768070|1304208000000|33|Chad|Laos
30786325583444|1304208000000|28|Malta|Mauritania
7763|1304208000000|42|Slovakia|Malta
10995116287647|1325376000000|33|Chad|Mauritania
10995116281998|1291161600000|29|Uruguay|Lithuania
28587302322247|1304208000000|30|Lithuania|Laos
15393162794627|1304208000000|30|Malta|Tajikistan
24189255814881|1325376000000|46|Mauritania|Malta
10995116285046|1304208000000|28|Laos|Chad
8796093023107|1304208000000|28|Dominican_Republic|Chad
21990232562087|1325376000000|37|Tajikistan|Slovakia
24189255812653|1325376000000|36|Malta|Lithuania
30786325583635|1291161600000|33|Mauritania|Lithuania
28587302331847|1291161600000|33|Laos|Malta
26388279070243|1325376000000|33|Uruguay|Mauritania
21990232558783|1291161600000|31|Chad|Uruguay
4398046514978|1325376000000|32|Slovakia|Laos
2199023265230|1325376000000|32|Slovakia|Laos
5248|1304208000000|34|Mauritania|Malta
21990232562960|1304208000000|33|Chad|Dominican_Republic
10995116279167|1304208000000|45|Uruguay|Chad
4398046513883|1325376000000|35|Malta|Dominican_Republic
26388279073335|1325376000000|37|Chad|Uruguay
4398046512387|1304208000000|28|Tajikistan|Laos
10995116279501|1304208000000|28|Azerbaijan|Chad
26388279070079|1291161600000|28|Tajikistan|Azerbaijan
15393162798620|1291161600000|29|Dominican_Republic|Malta
2199023264234|1291161600000|31|Dominican_Republic|Chad
28587302329992|1304208000000|35|Chad|Dominican_Republic
15393162794106|1304208000000|30|Laos|Tajikistan
10995116280896|1304208000000|29|Chad|Dominican_Republic
21990232559533|1325376000000|35|Slovakia|Malta
10995116278566|1304208000000|28|Uruguay|Lithuania
32985348843767|1304208000000|34|Laos|Mauritania
26388279068391|1291161600000|31|Slovakia|Malta
19791209302972|1304208000000|28|Azerbaijan|Mauritania
32985348837862|1304208000000|30|Mauritania|Dominican_Republic
6597069767348|1306886400000|35|Dominican_Republic|Lithuania
26388279067923|1325376000000|30|Mauritania|Dominican_Republic
30786325584552|1291161600000|30|Chad|Mauritania
2199023259490|1304208000000|30|Azerbaijan|Chad
2199023263628|1325376000000|30|Malta|Mauritania
19791209300634|1304208000000|33|Lithuania|Mauritania
28587302331437|1325376000000|31|Mauritania|Dominican_Republic
28587302328232|1304208000000|41|Laos|Mauritania
26388279074461|1304208000000|37|Chad|Malta
28587302327380|1325376000000|30|Dominican_Republic|Slovakia
15393162796535|1291161600000|34|Uruguay|Chad
15393162796337|1283299200000|30|Dominican_Republic|Malta
4398046514324|1325376000000|31|Tajikistan|Mauritania
32985348835311|1325376000000|32|Chad|Mauritania
32985348842860|1325376000000|29|Dominican_Republic|Uruguay
2199023255562|1325376000000|33|Mauritania|Laos
9256|1304208000000|34|Malta|Chad
2199023260083|1304208000000|32|Lithuania|Uruguay
32985348840725|1325376000000|30|Tajikistan|Chad
13194139533909|1304208000000|39|Tajikistan|Uruguay
15393162789992|1304208000000|28|Mauritania|Dominican_Republic
15393162792433|1325376000000|34|Laos|Dominican_Republic
4398046512494|1304208000000|33|Tajikistan|Mauritania
17592186052357|1325376000000|53|Malta|Slovakia
28587302328000|1304208000000|28|Slovakia|Mauritania
30786325584317|1304208000000|31|Malta|Mauritania
24189255812426|1304208000000|37|Malta|Slovakia
30786325585147|1304208000000|28|Mauritania|Tajikistan
4398046514167|1306886400000|40|Mauritania|Malta
15393162789162|1325376000000|33|Lithuania|Slovakia
28587302325842|1325376000000|32|Tajikistan|Chad
28587302322727|1291161600000|28|Uruguay|Malta
8796093032440|1304208000000|32|Dominican_Republic|Uruguay
4398046517478|1304208000000|30|Dominican_Republic|Uruguay
8796093030979|1325376000000|29|Malta|Mauritania
2199023262839|1304208000000|34|Mauritania|Lithuania
