Person|Date0|Duration
30786325584456|1301616000000|36
6597069766944|1335830400000|31
8796093032135|1328054400000|32
32985348836635|1312156800000|38
17592186051356|1312156800000|38
8796093025734|1285891200000|35
4511|1306886400000|35
21990232556837|1312156800000|43
1690|1306886400000|45
13194139537301|1320105600000|43
21990232555958|1306886400000|30
30786325578988|1349049600000|28
28587302333114|1325376000000|29
15393162793632|1328054400000|34
2199023256576|1325376000000|28
2199023258328|1306886400000|30
7285|1346457600000|53
10995116281308|1285891200000|34
26388279069382|1304208000000|40
17592186046530|1306886400000|30
32985348843237|1296518400000|29
2199023262943|1301616000000|30
10995116285096|1317427200000|36
28587302330273|1291161600000|31
26388279069695|1301616000000|32
10995116278627|1349049600000|28
28587302331590|1283299200000|30
30786325586544|1291161600000|30
24189255812877|1312156800000|31
30786325580021|1291161600000|31
21990232564730|1285891200000|29
13194139533469|1312156800000|29
19791209309138|1283299200000|38
15393162796633|1306886400000|40
19791209300572|1304208000000|34
4398046512441|1306886400000|31
28587302332899|1285891200000|30
4398046517144|1306886400000|37
19791209302621|1304208000000|29
26388279067627|1301616000000|37
10205|1317427200000|32
13194139537496|1296518400000|32
6597069777297|1298937600000|30
4398046513805|1320105600000|29
13194139538794|1293840000000|42
32985348833315|1296518400000|29
17592186050300|1296518400000|28
13194139533927|1301616000000|39
6597069768564|1312156800000|39
30786325586480|1325376000000|29
8796093029253|1304208000000|34
15393162797091|1280620800000|36
6597069770949|1293840000000|31
4398046517651|1330560000000|36
19791209304460|1304208000000|31
35184372096070|1335830400000|39
2199023257371|1291161600000|32
17592186046830|1288569600000|29
24189255820403|1320105600000|45
13194139534257|1285891200000|43
24189255817381|1304208000000|32
32985348844096|1325376000000|29
10995116286983|1293840000000|31
17592186050816|1328054400000|29
10995116287836|1296518400000|33
32985348839137|1351728000000|30
8796093022789|1291161600000|39
13194139539724|1301616000000|41
7499|1280620800000|29
21990232561061|1335830400000|36
32985348840740|1314835200000|51
17592186052189|1346457600000|34
10995116281054|1304208000000|29
10995116279287|1293840000000|38
19791209306648|1304208000000|29
2199023266358|1320105600000|44
21990232561798|1314835200000|30
30786325578513|1301616000000|30
28587302332673|1312156800000|33
10995116284407|1325376000000|29
15393162790090|1312156800000|30
32985348842097|1325376000000|31
4398046513283|1314835200000|31
6597069768646|1304208000000|46
4398046515698|1346457600000|39
24189255815710|1301616000000|28
6597069773767|1335830400000|32
17592186049995|1351728000000|47
2199023255558|1291161600000|28
32985348836604|1335830400000|31
28587302330435|1285891200000|41
8485|1312156800000|29
21990232562778|1314835200000|30
8796093026331|1306886400000|36
21990232556725|1317427200000|32
8796093027945|1283299200000|30
28587302326267|1328054400000|43
2199023256862|1288569600000|37
